Temperature_C,Temperature_K,J_m^-3_s^-1,Rate_per_drop_s^-1,Mean_wait_s
-55.0,218.14999999999998,7.054089905881583e+17,2954.8102701439334,0.0003384312049082219
-54.95,218.2,6.624470270562147e+17,2774.8516181229375,0.00036037963020035466
-54.9,218.24999999999997,6.219973066863153e+17,2605.4162256511545,0.0003838158333991632
-54.85,218.29999999999998,5.839192269361696e+17,2445.915138176669,0.0004088449285879393
-54.8,218.34999999999997,5.480796884320582e+17,2295.7908303465824,0.00043557975177078116
-54.75,218.39999999999998,5.143527149117363e+17,2154.5156140275685,0.0004641414494697667
-54.7,218.45,4.82619091338948e+17,2021.590122443494,0.0004946601137877053
-54.65,218.49999999999997,4.527660193745796e+17,1896.5418670163644,0.0005272754677296936
-54.6,218.54999999999998,4.246867894244224e+17,1778.9238636432015,0.0005621376048955909
-54.55,218.59999999999997,3.982804685156949e+17,1668.3133252762775,0.0005994077880031301
-54.5,218.64999999999998,3.734516032855162e+17,1564.3104178041438,0.0006392593110795244
-54.45,218.7,3.5010993739546976e+17,1466.5370763605204,0.0006818784305690264
-54.4,218.74999999999997,3.281701427144769e+17,1374.6358793057532,0.0007274653710515985
-54.35,218.79999999999998,3.0755156364064314e+17,1288.2689772446645,0.0007762354117529003
-54.3,218.84999999999997,2.881779739594302e+17,1207.117074556449,0.0008284200605541484
-54.25,218.89999999999998,2.6997734566090963e+17,1130.878461018648,0.0008842683227862009
-54.2,218.95,2.5288162916404902e+17,1059.2680912127933,0.0009440480727169501
-54.15,218.99999999999997,2.3682654441924746e+17,992.0167094967529,0.0010080475363235535
-54.1,219.04999999999998,2.2175138238351197e+17,928.8700184258964,0.0010765768946818237
-54.05,219.09999999999997,2.0759881638440538e+17,869.5878885962459,0.0011499700181131492
-54.0,219.14999999999998,1.9431472290981846e+17,813.9436079704294,0.0012285863421097473
-53.95,219.2,1.8184801138108368e+17,761.7231688329675,0.0013128128970162419
-53.9,219.24999999999997,1.7015046248600464e+17,712.7245906012506,0.001403066504491455
-53.85,219.29999999999998,1.5917657466718342e+17,666.7572767973476,0.0014997961549116131
-53.8,219.34999999999997,1.4888341837883296e+17,623.6414045603697,0.0016034855811168293
-53.75,219.39999999999998,1.3923049774222734e+17,583.2073451501757,0.001714656045256941
-53.7,219.45,1.3017961924662325e+17,545.2951139630775,0.0018338693569656872
-53.65,219.49999999999997,1.2169476715792309e+17,509.75384864486887,0.0019617311427042737
-53.6,219.54999999999998,1.1374198531269893e+17,476.44131395079086,0.0020988943878684813
-53.55,219.59999999999997,1.0628926498957218e+17,445.22343206226503,0.002246063275169553
-53.5,219.64999999999998,9.930643856371141e+16,415.9738371278959,0.0024039973448920027
-53.45,219.7,9.276507866375728e+16,388.57345285298555,0.002573516004909229
-53.4,219.74999999999997,8.663840256294994e+16,362.9100920140249,0.002755503420834476
-53.35,219.79999999999998,8.09011815486063e+16,338.8780768264476,0.0029509138194033662
-53.3,219.84999999999997,7.552965502579187e+16,316.3778791429322,0.0031607772411554194
-53.25,219.89999999999998,7.050144912208215e+16,295.31577950582385,0.0033862057817343255
-53.2,219.95,6.579549957124742e+16,275.60354412306845,0.0036284003646682365
-53.15,219.99999999999997,6.139197866373822e+16,257.1581188791218,0.0038886580923779973
-53.1,220.04999999999998,5.727222606185047e+16,239.90133953419115,0.004168380226395019
-53.05,220.09999999999997,5.3418683286776664e+16,223.7596573042366,0.0044690808524091635
-53.0,220.14999999999998,4.981483169372436e+16,208.6638790517553,0.004792396290840391
-52.95,220.2,4.644513375997455e+16,194.54892135377514,0.005140095319169424
-52.9,220.24999999999997,4.329497751891431e+16,181.3535777476753,0.005514090278336506
-52.85,220.29999999999998,4.0350623980978696e+16,169.02029848854244,0.005916449142159029
-52.8,220.34999999999997,3.7599157390023864e+16,157.49498218355382,0.006349408635981442
-52.75,220.39999999999998,3.502843817073479e+16,146.72677869853965,0.0068153884987454776
-52.7,220.45,3.262705842969258e+16,136.66790276128955,0.0073170069913683095
-52.65,220.49999999999997,3.0384299879205e+16,127.27345771330624,0.007857097763876117
-52.6,220.54999999999998,2.8290094059329108e+16,118.50126888820346,0.008438728204196874
-52.55,220.59999999999997,2.6334984739543216e+16,110.31172612019772,0.009065219402970644
-52.5,220.64999999999998,2.4510092387199964e+16,102.6676349099127,0.009740167881313964
-52.45,220.7,2.2807080595450772e+16,95.53407579799797,0.010467469242225675
-52.4,220.74999999999997,2.1218124368488184e+16,88.87827151866274,0.011251343921444501
-52.35,220.79999999999998,1.9735880167004812e+16,82.66946152638776,0.012096365230113468
-52.3,220.84999999999997,1.8353457621507836e+16,76.87878350893416,0.013007489899782154
-52.25,220.89999999999998,1.7064392825674962e+16,71.47916151881445,0.013990091360218098
-52.2,220.95,1.5862623126300814e+16,66.44520037366694,0.015049996002364566
-52.15,220.99999999999997,1.4742463330498326e+16,61.75308599321395,0.016193522702815048
-52.1,221.04999999999998,1.3698583254787804e+16,57.38049135710604,0.017427525912535765
-52.05,221.09999999999997,1.2725986544470044e+16,53.30648778371954,0.018759442641528006
-52.0,221.14999999999998,1.181999069526113e+16,49.51146124497611,0.02019734370294856
-51.95,221.2,1.0976208212608682e+16,45.97703344667119,0.021749989615139066
-51.9,221.24999999999997,1.0190528847350554e+16,42.68598741737516,0.023426891598458233
-51.85,221.29999999999998,9459102849504112.0,39.62219736206987,0.025238378146016077
-51.8,221.34999999999997,8778325184931712.0,36.77056254907164,0.02719566769383699
-51.75,221.39999999999998,8144820662439309.0,34.11694501056758,0.029310947967066046
-51.7,221.45,7555429921570841.0,31.64811084842595,0.031597462634953326
-51.65,221.49999999999997,7007196233902656.0,29.351674947587536,0.0340696059691882
-51.6,221.54999999999998,6497353073086121.0,27.216048909581904,0.036743026268149154
-51.55,221.59999999999997,6023312411209477.0,25.23039202844256,0.03963473888446468
-51.5,221.64999999999998,5582653701241265.0,23.384565140473903,0.04276324977577643
-51.45,221.7,5173113507436050.0,21.6690871881963,0.04614869058927066
-51.4,221.74999999999997,4792575747561078.0,20.07509434708066,0.04981296639063721
-51.35,221.79999999999998,4439062512715258.0,18.59430157169614,0.05377991725820879
-51.3,221.84999999999997,4110725432312869.5,17.218966425438452,0.058075495084458105
-51.25,221.89999999999998,3805837553514962.5,15.941855065171678,0.06272795706095143
-51.2,221.95,3522785706035774.5,14.756210259004165,0.06776807747028442
-51.15,221.99999999999997,3260063324787612.0,13.655721321853706,0.07322937957145234
-51.1,222.04999999999998,3016263704311859.0,12.634495859674232,0.07914838954451041
-51.05,222.09999999999997,2790073660337796.5,11.687033219055476,0.08556491465853967
-51.0,222.14999999999998,2580267575138483.0,10.808199544468012,0.09252234804564026
-50.95,222.2,2385701804620500.5,9.993204350735569,0.10006800270489746
-50.9,222.24999999999997,2205309426275531.8,9.237578523306045,0.10825347762696032
-50.85,222.29999999999998,2038095308262378.8,8.537153663670553,0.11713505922418287
-50.8,222.34999999999997,1883131480968269.0,7.888042701804776,0.12677416157638208
-50.75,222.39999999999998,1739552793415929.5,7.286621701769451,0.13723780936193852
-50.7,222.45,1606552837861586.8,6.729512790706394,0.14859916774079426
-50.65,222.49999999999997,1483380126842424.5,6.213568145292342,0.16093812389546924
-50.6,222.54999999999998,1369334507809943.2,5.735854973390285,0.17434192542161353
-50.55,222.59999999999997,1263763801311832.2,5.293641432098618,0.18890588129682948
-50.5,222.64999999999998,1166060649467026.8,4.884383426674339,0.20473413175117505
-50.45,222.7,1075659562225747.2,4.505712237936028,0.22194049402011498
-50.4,222.74999999999997,992034149606602.8,4.155422928685735,0.24064939168930202
-50.35,222.79999999999998,914694528771544.2,3.8314634824899487,0.26099687614669137
-50.3,222.84999999999997,843184895431112.5,3.5319246308056815,0.2831317495503538
-50.25,222.89999999999998,777081249668077.8,3.2550303269328125,0.307216799710217
-50.2,222.95,715989266836292.6,2.9991288276560524,0.33343015837753887
-50.15,222.99999999999997,659542304724145.8,2.762684345670743,0.36196679565186207
-50.1,223.04999999999998,607399538680424.6,2.5442692380163354,0.3930401645620099
-50.05,223.09999999999997,559244216879307.56,2.34255669774748,0.42688401137166276
-50.0,223.14999999999998,514782028352965.4,2.156313917964972,0.46375436881831805
-49.95,223.2,473739576850850.7,1.9843956991324934,0.5039317513322389
-49.9,223.24999999999997,435862953987756.75,1.825738472293177,0.547723573324263
-49.85,223.29999999999998,400916405526537.1,1.6793547124077275,0.5954668138967962
-49.8,223.34999999999997,368681085003084.94,1.5443277175509411,0.6475309538482165
-49.75,223.39999999999998,338953889241835.7,1.4198067311304527,0.7043212136371534
-49.7,223.45,311546370634018.8,1.3050023856485287,0.7662821240767649
-49.65,223.49999999999997,286283721354149.1,1.1991824477980566,0.8339014649824168
-49.6,223.54999999999998,263003824978924.78,1.1016678458930746,0.9077146108311286
-49.55,223.59999999999997,241556371243565.34,1.0118289617687917,0.988309326758039
-49.5,223.64999999999998,221802029926677.62,0.9290821703586053,1.076331062960795
-49.45,223.7,203611680096694.56,0.8528866111691344,1.1724888008608823
-49.4,223.74999999999997,186865691180337.34,0.7827411768268359,1.2775615102477582
-49.35,223.79999999999998,171453252528756.5,0.7181817047712228,1.3924052831707132
-49.3,223.84999999999997,157271748359433.25,0.6587783590176243,1.5179612176259225
-49.25,223.89999999999998,144226175142599.72,0.6041331897111283,1.6552641321993236
-49.2,223.95,132228598681206.56,0.5538778589484687,1.8054522018599721
-49.15,223.99999999999997,121197648302514.95,0.5076715220527207,1.9697776151724973
-49.1,224.04999999999998,111058045739190.98,0.46519885415504225,2.1496183644225364
-49.05,224.09999999999997,101740166428046.92,0.4261682125671402,2.3464912926664048
-49.0,224.14999999999998,93179631095836.95,0.39030992601985126,2.5620665356820562
-48.95,224.2,85316925634905.9,0.3573747024019828,2.7981835123717804
-48.9,224.24999999999997,78097047396487.95,0.3271321471571473,3.056868634557097
-48.85,224.29999999999998,71469176147476.38,0.29936938499070226,3.34035492651013
-48.8,224.34999999999997,65386368047236.11,0.2738897780028205,3.651103766237315
-48.75,224.39999999999998,59805271105137.76,0.25051173379979563,3.9918289847420145
-48.7,224.45,54685860677618.8,0.2290675975467229,4.365523586530085
-48.65,224.49999999999997,49991193655422.61,0.2094026223094138,4.775489384857835
-48.6,224.54999999999998,45687180078269.12,0.19137401239616564,5.225369879008901
-48.55,224.59999999999997,41742370995430.5,0.17485003475021885,5.719186738673201
-48.5,224.64999999999998,38127761466881.71,0.15970919376290613,6.261380302780408
-48.45,224.7,34816607671440.07,0.1458394651780189,6.856854547425487
-48.4,224.74999999999997,31784257155395.86,0.13313758503893394,7.511027030478028
-48.35,224.79999999999998,29007991318316.65,0.12150838989469345,8.229884379726048
-48.3,224.84999999999997,26466879291840.543,0.11086420472892546,9.020043957786955
-48.25,224.89999999999998,24141642422740.32,0.10112427530783026,9.888822411393518
-48.2,224.95,22014528623664.688,0.09221424186179628,10.844311895972906
-48.15,224.99999999999997,20069195903657.98,0.08406565121918172,11.89546485987162
-48.1,225.04999999999998,18290604436331.457,0.07661550470252772,13.052188377309061
-48.05,225.09999999999997,16664916566394.787,0.06980583927689694,14.325449136616307
-48.0,225.14999999999998,15179404195338.988,0.0635833396079294,15.727390322154314
-47.95,225.2,13822363024694.232,0.0578989788448408,17.271461776205523
-47.9,225.24999999999997,12583033170410.588,0.052707686090718124,18.972564993250597
-47.85,225.29999999999998,11451525694871.135,0.04796803866053588,20.847214685530115
-47.8,225.34999999999997,10418754633844.285,0.04364197735631977,22.91371886831316
-47.75,225.39999999999998,9476374124486.842,0.0396945431095417,25.19237964876895
-47.7,225.45,8616720267495.992,0.036093633453871586,27.705717166935294
-47.65,225.49999999999997,7832757381671.396,0.03280977739681345,30.478719434930454
-47.6,225.54999999999998,7118028332735.168,0.02981592735755308,33.53912115521292
-47.55,225.59999999999997,6466608640256.114,0.027087266930491856,36.91771497530858
-47.5,225.64999999999998,5873064087082.733,0.024601033320054883,40.64869906032748
-47.45,225.7,5332411574915.318,0.02233635337289486,44.77006534170877
-47.4,225.74999999999997,4840082987558.631,0.020274092208638846,49.32403333816827
-47.35,225.79999999999998,4391891840152.2173,0.018396713520510886,54.35753505021855
-47.3,225.84999999999997,3984002508292.8745,0.016688150682581608,59.92275711195238
-47.25,225.89999999999998,3612901845532.728,0.015133687861422168,66.07774715303441
-47.2,225.95,3275373011339.514,0.013719850386920663,72.88709219113022
-47.15,225.99999999999997,2968471344270.3975,0.012434303690068933,80.42267785358041
-47.1,226.04999999999998,2689502126932.323,0.011265760165046282,88.76453833116834
-47.05,226.09999999999997,2436000100312.1235,0.01020389335904609,98.00180821308436
-47.0,226.14999999999998,2205710595310.325,0.00923925893622945,108.23378875969688
-46.95,226.2,1996572158878.2617,0.008363221902258482,119.57114275898272
-46.9,226.24999999999997,1806700561042.528,0.007567889613077019,132.13723390891417
-46.85,226.29999999999998,1634374077388.5593,0.006846050126321993,146.06962869803658
-46.8,226.34999999999997,1478019949280.1228,0.006191115486023457,161.5217810518179
-46.75,226.39999999999998,1336201931256.623,0.005597069561264402,178.66492260891175
-46.7,226.45,1207608841723.478,0.005058420087424745,197.69018442853422
-46.65,226.49999999999997,1091044039244.4054,0.004570154584577544,218.81097925540695
-46.6,226.54999999999998,985415752510.8977,0.004127699851759859,242.26567723271995
-46.55,226.59999999999997,889728197417.3771,0.0037268847582641617,268.320612217095
-46.5,226.64999999999998,803073419643.0488,0.003363906073925114,297.2734606805379
